nfhs4_statecode,nfhs4_state,SL_NO,ITEM_CATEGORY,region,measure,mpce
CT,Chhattisgarh,6,sugar,Rural,URP,17.58
DL,NCT of Delhi,6,sugar,Rural,URP,34.13
AP,Andhra Pradesh,7,salt,Rural,URP,3.1
AR,Arunachal Pradesh,7,salt,Rural,URP,3.5
AS,Assam,7,salt,Rural,URP,2.83
BR,Bihar,7,salt,Rural,URP,2.72
CT,Chhattisgarh,7,salt,Rural,URP,2.24
DL,NCT of Delhi,7,salt,Rural,URP,2.83
AP,Andhra Pradesh,8,edible oil,Rural,URP,51.58
AR,Arunachal Pradesh,8,edible oil,Rural,URP,23.35
AS,Assam,8,edible oil,Rural,URP,40.37
BR,Bihar,8,edible oil,Rural,URP,41.64
CT,Chhattisgarh,8,edible oil,Rural,URP,40.72
DL,NCT of Delhi,8,edible oil,Rural,URP,75.66
AP,Andhra Pradesh,9,"egg, fish & meat",Rural,URP,76.83
AR,Arunachal Pradesh,9,"egg, fish & meat",Rural,URP,107.32
AS,Assam,9,"egg, fish & meat",Rural,URP,106.44
BR,Bihar,9,"egg, fish & meat",Rural,URP,30.6
CT,Chhattisgarh,9,"egg, fish & meat",Rural,URP,24.16
DL,NCT of Delhi,9,"egg, fish & meat",Rural,URP,28.4
AP,Andhra Pradesh,10,vegetables,Rural,URP,67.74
AR,Arunachal Pradesh,10,vegetables,Rural,URP,73.14
AS,Assam,10,vegetables,Rural,URP,65.1
BR,Bihar,10,vegetables,Rural,URP,61.28
CT,Chhattisgarh,10,vegetables,Rural,URP,66.33
DL,NCT of Delhi,10,vegetables,Rural,URP,87.38
AP,Andhra Pradesh,11,fruits (fresh),Rural,URP,26.26
AR,Arunachal Pradesh,11,fruits (fresh),Rural,URP,17.99
AS,Assam,11,fruits (fresh),Rural,URP,13.76
BR,Bihar,11,fruits (fresh),Rural,URP,10.35
CT,Chhattisgarh,11,fruits (fresh),Rural,URP,10.15
DL,NCT of Delhi,11,fruits (fresh),Rural,URP,20.62
AP,Andhra Pradesh,12,fruits (dry),Rural,URP,8.44
AR,Arunachal Pradesh,12,fruits (dry),Rural,URP,2.47
AS,Assam,12,fruits (dry),Rural,URP,1.38
BR,Bihar,12,fruits (dry),Rural,URP,1.6
CT,Chhattisgarh,12,fruits (dry),Rural,URP,1.23
DL,NCT of Delhi,12,fruits (dry),Rural,URP,9.8
AP,Andhra Pradesh,13,spices,Rural,URP,39.44
AR,Arunachal Pradesh,13,spices,Rural,URP,17.68
AS,Assam,13,spices,Rural,URP,20.66
BR,Bihar,13,spices,Rural,URP,20.82
CT,Chhattisgarh,13,spices,Rural,URP,21.41
DL,NCT of Delhi,13,spices,Rural,URP,41.18
AP,Andhra Pradesh,14,"beverages, refreshments, etc..",Rural,URP,96.94
AR,Arunachal Pradesh,14,"beverages, refreshments, etc..",Rural,URP,82.26
AS,Assam,14,"beverages, refreshments, etc..",Rural,URP,62.82
BR,Bihar,14,"beverages, refreshments, etc..",Rural,URP,45.71
CT,Chhattisgarh,14,"beverages, refreshments, etc..",Rural,URP,64.23
DL,NCT of Delhi,14,"beverages, refreshments, etc..",Rural,URP,140.39
AP,Andhra Pradesh,15,food: total (1-14),Rural,URP,717.1
AR,Arunachal Pradesh,15,food: total (1-14),Rural,URP,625.57
AS,Assam,15,food: total (1-14),Rural,URP,597.5
BR,Bihar,15,food: total (1-14),Rural,URP,524.98
CT,Chhattisgarh,15,food: total (1-14),Rural,URP,434.56
DL,NCT of Delhi,15,food: total (1-14),Rural,URP,1032.28
AP,Andhra Pradesh,16,"pan, tobacco & intoxicants",Rural,URP,58.27
AR,Arunachal Pradesh,16,"pan, tobacco & intoxicants",Rural,URP,56.25
AS,Assam,16,"pan, tobacco & intoxicants",Rural,URP,32.97
BR,Bihar,16,"pan, tobacco & intoxicants",Rural,URP,15.36
CT,Chhattisgarh,16,"pan, tobacco & intoxicants",Rural,URP,22.37
DL,NCT of Delhi,16,"pan, tobacco & intoxicants",Rural,URP,19.31
AP,Andhra Pradesh,17,fuel and light,Rural,URP,112.12
AR,Arunachal Pradesh,17,fuel and light,Rural,URP,209.85
AS,Assam,17,fuel and light,Rural,URP,103.59
BR,Bihar,17,fuel and light,Rural,URP,100.07
CT,Chhattisgarh,17,fuel and light,Rural,URP,102.85
DL,NCT of Delhi,17,fuel and light,Rural,URP,202.04
AP,Andhra Pradesh,18,clothing & bedding,Rural,URP,88.77
AR,Arunachal Pradesh,18,clothing & bedding,Rural,URP,152.11
AS,Assam,18,clothing & bedding,Rural,URP,76.36
BR,Bihar,18,clothing & bedding,Rural,URP,100.33
CT,Chhattisgarh,18,clothing & bedding,Rural,URP,59.77
DL,NCT of Delhi,18,clothing & bedding,Rural,URP,17.79
AP,Andhra Pradesh,19,footwear,Rural,URP,13.95
AR,Arunachal Pradesh,19,footwear,Rural,URP,43.73
AS,Assam,19,footwear,Rural,URP,14.9
BR,Bihar,19,footwear,Rural,URP,17.44
CT,Chhattisgarh,19,footwear,Rural,URP,9.58
DL,NCT of Delhi,19,footwear,Rural,URP,4.56
AP,Andhra Pradesh,20,education,Rural,URP,30.65
AR,Arunachal Pradesh,20,education,Rural,URP,42.18
AS,Assam,20,education,Rural,URP,14.51
BR,Bihar,20,education,Rural,URP,25.99
CT,Chhattisgarh,20,education,Rural,URP,11.63
DL,NCT of Delhi,20,education,Rural,URP,161.67
AP,Andhra Pradesh,21,medical (institutional),Rural,URP,26.46
AR,Arunachal Pradesh,21,medical (institutional),Rural,URP,24.11
AS,Assam,21,medical (institutional),Rural,URP,2.81
BR,Bihar,21,medical (institutional),Rural,URP,9.14
CT,Chhattisgarh,21,medical (institutional),Rural,URP,4.35
DL,NCT of Delhi,21,medical (institutional),Rural,URP,0.45
AP,Andhra Pradesh,22,medical (non-institutional),Rural,URP,99.04
AR,Arunachal Pradesh,22,medical (non-institutional),Rural,URP,36.31
AS,Assam,22,medical (non-institutional),Rural,URP,25.49
BR,Bihar,22,medical (non-institutional),Rural,URP,40.28
CT,Chhattisgarh,22,medical (non-institutional),Rural,URP,40.96
DL,NCT of Delhi,22,medical (non-institutional),Rural,URP,63.2
AP,Andhra Pradesh,23,entertainment,Rural,URP,28.17
AR,Arunachal Pradesh,23,entertainment,Rural,URP,27.3
AS,Assam,23,entertainment,Rural,URP,12.21
BR,Bihar,23,entertainment,Rural,URP,6.91
CT,Chhattisgarh,23,entertainment,Rural,URP,9.12
DL,NCT of Delhi,23,entertainment,Rural,URP,42.42
AP,Andhra Pradesh,24,minor durable-type goods,Rural,URP,3.47
AR,Arunachal Pradesh,24,minor durable-type goods,Rural,URP,19.12
AS,Assam,24,minor durable-type goods,Rural,URP,3.74
BR,Bihar,24,minor durable-type goods,Rural,URP,5.93
CT,Chhattisgarh,24,minor durable-type goods,Rural,URP,5.75
DL,NCT of Delhi,24,minor durable-type goods,Rural,URP,7.86
AP,Andhra Pradesh,25,toilet articles,Rural,URP,47.05
AR,Arunachal Pradesh,25,toilet articles,Rural,URP,42.52
AS,Assam,25,toilet articles,Rural,URP,23.59
BR,Bihar,25,toilet articles,Rural,URP,21.99
CT,Chhattisgarh,25,toilet articles,Rural,URP,29.11
DL,NCT of Delhi,25,toilet articles,Rural,URP,71.17
AP,Andhra Pradesh,26,other household consumables,Rural,URP,43.04
AR,Arunachal Pradesh,26,other household consumables,Rural,URP,29.62
AS,Assam,26,other household consumables,Rural,URP,17.57
BR,Bihar,26,other household consumables,Rural,URP,19.13
CT,Chhattisgarh,26,other household consumables,Rural,URP,24.19
DL,NCT of Delhi,26,other household consumables,Rural,URP,56.89
AP,Andhra Pradesh,27,consum. services excl. conveyance,Rural,URP,73.33
AR,Arunachal Pradesh,27,consum. services excl. conveyance,Rural,URP,70.57
AS,Assam,27,consum. services excl. conveyance,Rural,URP,42.91
BR,Bihar,27,consum. services excl. conveyance,Rural,URP,50.04
CT,Chhattisgarh,27,consum. services excl. conveyance,Rural,URP,36.3
DL,NCT of Delhi,27,consum. services excl. conveyance,Rural,URP,131.17
AP,Andhra Pradesh,28,conveyance,Rural,URP,76.18
AR,Arunachal Pradesh,28,conveyance,Rural,URP,47.8
AS,Assam,28,conveyance,Rural,URP,38.09
BR,Bihar,28,conveyance,Rural,URP,19.25
CT,Chhattisgarh,28,conveyance,Rural,URP,30.36
DL,NCT of Delhi,28,conveyance,Rural,URP,345.1
AP,Andhra Pradesh,29,rent,Rural,URP,20.84
AR,Arunachal Pradesh,29,rent,Rural,URP,18.97
AS,Assam,29,rent,Rural,URP,0.9
BR,Bihar,29,rent,Rural,URP,0.57
CT,Chhattisgarh,29,rent,Rural,URP,0.76
DL,NCT of Delhi,29,rent,Rural,URP,139.16
AP,Andhra Pradesh,30,taxes & cesses,Rural,URP,7.11
AR,Arunachal Pradesh,30,taxes & cesses,Rural,URP,3.84
AS,Assam,30,taxes & cesses,Rural,URP,0.59
BR,Bihar,30,taxes & cesses,Rural,URP,0.02
CT,Chhattisgarh,30,taxes & cesses,Rural,URP,1.36
DL,NCT of Delhi,30,taxes & cesses,Rural,URP,24.75
AP,Andhra Pradesh,31,durable goods,Rural,URP,87.65
AR,Arunachal Pradesh,31,durable goods,Rural,URP,134.06
AS,Assam,31,durable goods,Rural,URP,35.29
BR,Bihar,31,durable goods,Rural,URP,47.56
CT,Chhattisgarh,31,durable goods,Rural,URP,58.01
DL,NCT of Delhi,31,durable goods,Rural,URP,28.93
AP,Andhra Pradesh,32,non-food: total (16-31),Rural,URP,816.1
AR,Arunachal Pradesh,32,non-food: total (16-31),Rural,URP,958.33
AS,Assam,32,non-food: total (16-31),Rural,URP,445.53
BR,Bihar,32,non-food: total (16-31),Rural,URP,480
CT,Chhattisgarh,32,non-food: total (16-31),Rural,URP,446.48
DL,NCT of Delhi,32,non-food: total (16-31),Rural,URP,1316.47
AP,Andhra Pradesh,33,total expenditure (15+32),Rural,URP,1533.2
AR,Arunachal Pradesh,33,total expenditure (15+32),Rural,URP,1583.9
AS,Assam,33,total expenditure (15+32),Rural,URP,1043.03
BR,Bihar,33,total expenditure (15+32),Rural,URP,1004.98
CT,Chhattisgarh,33,total expenditure (15+32),Rural,URP,881.04
DL,NCT of Delhi,33,total expenditure (15+32),Rural,URP,2348.76
AP,Andhra Pradesh,34,cooked meals recd. free in workpl.*,Rural,URP,2.41
AR,Arunachal Pradesh,34,cooked meals recd. free in workpl.*,Rural,URP,0.74
AS,Assam,34,cooked meals recd. free in workpl.*,Rural,URP,1.28
BR,Bihar,34,cooked meals recd. free in workpl.*,Rural,URP,0.55
CT,Chhattisgarh,34,cooked meals recd. free in workpl.*,Rural,URP,0.43
DL,NCT of Delhi,34,cooked meals recd. free in workpl.*,Rural,URP,1.66
AP,Andhra Pradesh,35,cooked meals recd. as assistance *,Rural,URP,18.81
AR,Arunachal Pradesh,35,cooked meals recd. as assistance *,Rural,URP,2.34
AS,Assam,35,cooked meals recd. as assistance *,Rural,URP,13.99
BR,Bihar,35,cooked meals recd. as assistance *,Rural,URP,14.26
CT,Chhattisgarh,35,cooked meals recd. as assistance *,Rural,URP,31.83
DL,NCT of Delhi,35,cooked meals recd. as assistance *,Rural,URP,18.1
AP,Andhra Pradesh,36,clothing & footwear (2nd hand) **,Rural,URP,0.01
AR,Arunachal Pradesh,36,clothing & footwear (2nd hand) **,Rural,URP,6.42
AS,Assam,36,clothing & footwear (2nd hand) **,Rural,URP,0.9
BR,Bihar,36,clothing & footwear (2nd hand) **,Rural,URP,0.13
CT,Chhattisgarh,36,clothing & footwear (2nd hand) **,Rural,URP,0.07
DL,NCT of Delhi,36,clothing & footwear (2nd hand) **,Rural,URP,0
AP,Andhra Pradesh,37,"books, journals, etc. (2nd hand) @",Rural,URP,0.01
AR,Arunachal Pradesh,37,"books, journals, etc. (2nd hand) @",Rural,URP,0.27
AS,Assam,37,"books, journals, etc. (2nd hand) @",Rural,URP,0.08
BR,Bihar,37,"books, journals, etc. (2nd hand) @",Rural,URP,0.27
CT,Chhattisgarh,37,"books, journals, etc. (2nd hand) @",Rural,URP,0.15
DL,NCT of Delhi,37,"books, journals, etc. (2nd hand) @",Rural,URP,0
AP,Andhra Pradesh,38,durables (2nd hand) $,Rural,URP,12.96
AR,Arunachal Pradesh,38,durables (2nd hand) $,Rural,URP,0.85
AS,Assam,38,durables (2nd hand) $,Rural,URP,0.24
BR,Bihar,38,durables (2nd hand) $,Rural,URP,0.47
CT,Chhattisgarh,38,durables (2nd hand) $,Rural,URP,10.42
DL,NCT of Delhi,38,durables (2nd hand) $,Rural,URP,0
GA,Goa,1,cereal,Rural,URP,184.52
GJ,Gujarat,1,cereal,Rural,URP,128.59
HR,Haryana,1,cereal,Rural,URP,122.18
HP,Himachal Pradesh,1,cereal,Rural,URP,154.92
JK,Jammu & Kashmir,1,cereal,Rural,URP,193.19
JH,Jharkhand,1,cereal,Rural,URP,175.73
GA,Goa,2,gram,Rural,URP,5.82
GJ,Gujarat,2,gram,Rural,URP,2.38
HR,Haryana,2,gram,Rural,URP,4.59
HP,Himachal Pradesh,2,gram,Rural,URP,6.47
JK,Jammu & Kashmir,2,gram,Rural,URP,3.1
JH,Jharkhand,2,gram,Rural,URP,3.32
GA,Goa,3,cereal substitutes,Rural,URP,0
GJ,Gujarat,3,cereal substitutes,Rural,URP,0.24
HR,Haryana,3,cereal substitutes,Rural,URP,0
HP,Himachal Pradesh,3,cereal substitutes,Rural,URP,0
JK,Jammu & Kashmir,3,cereal substitutes,Rural,URP,0
JH,Jharkhand,3,cereal substitutes,Rural,URP,0.01
GA,Goa,4,pulses and pulse products,Rural,URP,30.51
GJ,Gujarat,4,pulses and pulse products,Rural,URP,48.02
HR,Haryana,4,pulses and pulse products,Rural,URP,37.91
HP,Himachal Pradesh,4,pulses and pulse products,Rural,URP,53.13
JK,Jammu & Kashmir,4,pulses and pulse products,Rural,URP,40.56
JH,Jharkhand,4,pulses and pulse products,Rural,URP,27.18
GA,Goa,5,milk and milk products,Rural,URP,160.18
GJ,Gujarat,5,milk and milk products,Rural,URP,193.66
HR,Haryana,5,milk and milk products,Rural,URP,460.19
HP,Himachal Pradesh,5,milk and milk products,Rural,URP,231.08
JK,Jammu & Kashmir,5,milk and milk products,Rural,URP,196.89
JH,Jharkhand,5,milk and milk products,Rural,URP,50.63
GA,Goa,6,sugar,Rural,URP,28.58
GJ,Gujarat,6,sugar,Rural,URP,31.84
HR,Haryana,6,sugar,Rural,URP,54.55
HP,Himachal Pradesh,6,sugar,Rural,URP,29.81
JK,Jammu & Kashmir,6,sugar,Rural,URP,16.04
JH,Jharkhand,6,sugar,Rural,URP,15.95
GA,Goa,7,salt,Rural,URP,2.69
GJ,Gujarat,7,salt,Rural,URP,1.53
HR,Haryana,7,salt,Rural,URP,2.91
HP,Himachal Pradesh,7,salt,Rural,URP,1.46
JK,Jammu & Kashmir,7,salt,Rural,URP,4.45
JH,Jharkhand,7,salt,Rural,URP,2.47
GA,Goa,8,edible oil,Rural,URP,47.91
GJ,Gujarat,8,edible oil,Rural,URP,79.53
HR,Haryana,8,edible oil,Rural,URP,37.8
HP,Himachal Pradesh,8,edible oil,Rural,URP,47.58
JK,Jammu & Kashmir,8,edible oil,Rural,URP,70.58
JH,Jharkhand,8,edible oil,Rural,URP,38.77
GA,Goa,9,"egg, fish & meat",Rural,URP,203.36
GJ,Gujarat,9,"egg, fish & meat",Rural,URP,16.47
HR,Haryana,9,"egg, fish & meat",Rural,URP,8.92
HP,Himachal Pradesh,9,"egg, fish & meat",Rural,URP,35.16
JK,Jammu & Kashmir,9,"egg, fish & meat",Rural,URP,60.63
JH,Jharkhand,9,"egg, fish & meat",Rural,URP,34.1
GA,Goa,10,vegetables,Rural,URP,53.69
GJ,Gujarat,10,vegetables,Rural,URP,75.24
HR,Haryana,10,vegetables,Rural,URP,75.11
HP,Himachal Pradesh,10,vegetables,Rural,URP,59.5
JK,Jammu & Kashmir,10,vegetables,Rural,URP,67.72
JH,Jharkhand,10,vegetables,Rural,URP,59.86
GA,Goa,11,fruits (fresh),Rural,URP,119.69
GJ,Gujarat,11,fruits (fresh),Rural,URP,18.4
HR,Haryana,11,fruits (fresh),Rural,URP,32.21
HP,Himachal Pradesh,11,fruits (fresh),Rural,URP,22.54
JK,Jammu & Kashmir,11,fruits (fresh),Rural,URP,21.09
JH,Jharkhand,11,fruits (fresh),Rural,URP,7.55
GA,Goa,12,fruits (dry),Rural,URP,3.07
GJ,Gujarat,12,fruits (dry),Rural,URP,4.39
HR,Haryana,12,fruits (dry),Rural,URP,6.21
HP,Himachal Pradesh,12,fruits (dry),Rural,URP,8.15
JK,Jammu & Kashmir,12,fruits (dry),Rural,URP,3.83
JH,Jharkhand,12,fruits (dry),Rural,URP,0.99
GA,Goa,13,spices,Rural,URP,37.8
GJ,Gujarat,13,spices,Rural,URP,34.05
HR,Haryana,13,spices,Rural,URP,29.42
HP,Himachal Pradesh,13,spices,Rural,URP,29.47
JK,Jammu & Kashmir,13,spices,Rural,URP,35.94
JH,Jharkhand,13,spices,Rural,URP,20.86
GA,Goa,14,"beverages, refreshments, etc.",Rural,URP,127.23
GJ,Gujarat,14,"beverages, refreshments, etc.",Rural,URP,79.34
HR,Haryana,14,"beverages, refreshments, etc.",Rural,URP,88.1
HP,Himachal Pradesh,14,"beverages, refreshments, etc.",Rural,URP,106.32
JK,Jammu & Kashmir,14,"beverages, refreshments, etc.",Rural,URP,74.19
JH,Jharkhand,14,"beverages, refreshments, etc.",Rural,URP,56.97
GA,Goa,15,food: total (1-14),Rural,URP,1005.04
GJ,Gujarat,15,food: total (1-14),Rural,URP,713.67
HR,Haryana,15,food: total (1-14),Rural,URP,960.12
HP,Himachal Pradesh,15,food: total (1-14),Rural,URP,785.6
JK,Jammu & Kashmir,15,food: total (1-14),Rural,URP,788.22
JH,Jharkhand,15,food: total (1-14),Rural,URP,494.39
GA,Goa,16,"pan, tobacco & intoxicants",Rural,URP,11.02
GJ,Gujarat,16,"pan, tobacco & intoxicants",Rural,URP,34.26
HR,Haryana,16,"pan, tobacco & intoxicants",Rural,URP,25.61
HP,Himachal Pradesh,16,"pan, tobacco & intoxicants",Rural,URP,46.54
JK,Jammu & Kashmir,16,"pan, tobacco & intoxicants",Rural,URP,19.04
JH,Jharkhand,16,"pan, tobacco & intoxicants",Rural,URP,21.86
GA,Goa,17,fuel and light,Rural,URP,157.12
GJ,Gujarat,17,fuel and light,Rural,URP,137.88
HR,Haryana,17,fuel and light,Rural,URP,155.98
HP,Himachal Pradesh,17,fuel and light,Rural,URP,156.65
JK,Jammu & Kashmir,17,fuel and light,Rural,URP,137.5
JH,Jharkhand,17,fuel and light,Rural,URP,96.13
GA,Goa,18,clothing & bedding,Rural,URP,166.38
GJ,Gujarat,18,clothing & bedding,Rural,URP,74.97
HR,Haryana,18,clothing & bedding,Rural,URP,100.28
HP,Himachal Pradesh,18,clothing & bedding,Rural,URP,124.07
JK,Jammu & Kashmir,18,clothing & bedding,Rural,URP,129.24
JH,Jharkhand,18,clothing & bedding,Rural,URP,69.25
GA,Goa,19,footwear,Rural,URP,79.09
GJ,Gujarat,19,footwear,Rural,URP,21.53
HR,Haryana,19,footwear,Rural,URP,38.33
HP,Himachal Pradesh,19,footwear,Rural,URP,45.29
JK,Jammu & Kashmir,19,footwear,Rural,URP,41.9
JH,Jharkhand,19,footwear,Rural,URP,12.39
GA,Goa,20,education,Rural,URP,58.36
GJ,Gujarat,20,education,Rural,URP,14.26
HR,Haryana,20,education,Rural,URP,108.66
HP,Himachal Pradesh,20,education,Rural,URP,106.28
JK,Jammu & Kashmir,20,education,Rural,URP,59.45
JH,Jharkhand,20,education,Rural,URP,17.02
GA,Goa,21,medical (institutional),Rural,URP,18.35
GJ,Gujarat,21,medical (institutional),Rural,URP,48.04
HR,Haryana,21,medical (institutional),Rural,URP,20.42
HP,Himachal Pradesh,21,medical (institutional),Rural,URP,27.53
JK,Jammu & Kashmir,21,medical (institutional),Rural,URP,10.94
JH,Jharkhand,21,medical (institutional),Rural,URP,1.89
GA,Goa,22,medical (non-institutional),Rural,URP,93.92
GJ,Gujarat,22,medical (non-institutional),Rural,URP,49.27
HR,Haryana,22,medical (non-institutional),Rural,URP,68.99
HP,Himachal Pradesh,22,medical (non-institutional),Rural,URP,73.87
JK,Jammu & Kashmir,22,medical (non-institutional),Rural,URP,56.88
JH,Jharkhand,22,medical (non-institutional),Rural,URP,30.95
GA,Goa,23,entertainment,Rural,URP,67.09
GJ,Gujarat,23,entertainment,Rural,URP,20.6
HR,Haryana,23,entertainment,Rural,URP,20.75
HP,Himachal Pradesh,23,entertainment,Rural,URP,24.3
JK,Jammu & Kashmir,23,entertainment,Rural,URP,16.93
JH,Jharkhand,23,entertainment,Rural,URP,8.79
GA,Goa,24,minor durable-type goods,Rural,URP,22.37
GJ,Gujarat,24,minor durable-type goods,Rural,URP,6.91
HR,Haryana,24,minor durable-type goods,Rural,URP,3.12
HP,Himachal Pradesh,24,minor durable-type goods,Rural,URP,4.07
JK,Jammu & Kashmir,24,minor durable-type goods,Rural,URP,6.46
JH,Jharkhand,24,minor durable-type goods,Rural,URP,3.96
GA,Goa,25,toilet articles,Rural,URP,75.05
GJ,Gujarat,25,toilet articles,Rural,URP,31.39
HR,Haryana,25,toilet articles,Rural,URP,41.22
HP,Himachal Pradesh,25,toilet articles,Rural,URP,39.92
JK,Jammu & Kashmir,25,toilet articles,Rural,URP,28.13
JH,Jharkhand,25,toilet articles,Rural,URP,21.59
GA,Goa,26,other household consumables,Rural,URP,49.89
GJ,Gujarat,26,other household consumables,Rural,URP,29.39
HR,Haryana,26,other household consumables,Rural,URP,40.72
HP,Himachal Pradesh,26,other household consumables,Rural,URP,37.06
JK,Jammu & Kashmir,26,other household consumables,Rural,URP,30.97
JH,Jharkhand,26,other household consumables,Rural,URP,21.92
GA,Goa,27,consum. services excl. conveyance,Rural,URP,133.5
GJ,Gujarat,27,consum. services excl. conveyance,Rural,URP,67.02
HR,Haryana,27,consum. services excl. conveyance,Rural,URP,77.33
HP,Himachal Pradesh,27,consum. services excl. conveyance,Rural,URP,90.38
JK,Jammu & Kashmir,27,consum. services excl. conveyance,Rural,URP,75.07
JH,Jharkhand,27,consum. services excl. conveyance,Rural,URP,42.93
GA,Goa,28,conveyance,Rural,URP,294.92
GJ,Gujarat,28,conveyance,Rural,URP,80.08
HR,Haryana,28,conveyance,Rural,URP,112.16
HP,Himachal Pradesh,28,conveyance,Rural,URP,105.04
JK,Jammu & Kashmir,28,conveyance,Rural,URP,101.28
JH,Jharkhand,28,conveyance,Rural,URP,30.11
GA,Goa,29,rent,Rural,URP,28.55
GJ,Gujarat,29,rent,Rural,URP,4.98
HR,Haryana,29,rent,Rural,URP,9.13
HP,Himachal Pradesh,29,rent,Rural,URP,11.7
JK,Jammu & Kashmir,29,rent,Rural,URP,4.31
JH,Jharkhand,29,rent,Rural,URP,4.23
GA,Goa,30,taxes & cesses,Rural,URP,28.1
GJ,Gujarat,30,taxes & cesses,Rural,URP,5.61
HR,Haryana,30,taxes & cesses,Rural,URP,2.52
HP,Himachal Pradesh,30,taxes & cesses,Rural,URP,2.85
JK,Jammu & Kashmir,30,taxes & cesses,Rural,URP,3.41
JH,Jharkhand,30,taxes & cesses,Rural,URP,0.82
GA,Goa,31,durable goods,Rural,URP,169.49
GJ,Gujarat,31,durable goods,Rural,URP,120.76
HR,Haryana,31,durable goods,Rural,URP,96.69
HP,Himachal Pradesh,31,durable goods,Rural,URP,177.39
JK,Jammu & Kashmir,31,durable goods,Rural,URP,72.84
JH,Jharkhand,31,durable goods,Rural,URP,19.65
GA,Goa,32,non-food: total (16-31),Rural,URP,1453.2
GJ,Gujarat,32,non-food: total (16-31),Rural,URP,746.95
HR,Haryana,32,non-food: total (16-31),Rural,URP,921.9
HP,Himachal Pradesh,32,non-food: total (16-31),Rural,URP,1072.93
JK,Jammu & Kashmir,32,non-food: total (16-31),Rural,URP,794.33
JH,Jharkhand,32,non-food: total (16-31),Rural,URP,403.5
GA,Goa,33,total expenditure (15+32),Rural,URP,2458.24
GJ,Gujarat,33,total expenditure (15+32),Rural,URP,1460.62
HR,Haryana,33,total expenditure (15+32),Rural,URP,1882.02
HP,Himachal Pradesh,33,total expenditure (15+32),Rural,URP,1858.52
JK,Jammu & Kashmir,33,total expenditure (15+32),Rural,URP,1582.55
JH,Jharkhand,33,total expenditure (15+32),Rural,URP,897.89
GA,Goa,34,cooked meals recd. free in workpl.*,Rural,URP,4.83
GJ,Gujarat,34,cooked meals recd. free in workpl.*,Rural,URP,0.94
HR,Haryana,34,cooked meals recd. free in workpl.*,Rural,URP,6.16
HP,Himachal Pradesh,34,cooked meals recd. free in workpl.*,Rural,URP,2.85
JK,Jammu & Kashmir,34,cooked meals recd. free in workpl.*,Rural,URP,1.3
JH,Jharkhand,34,cooked meals recd. free in workpl.*,Rural,URP,0.72
GA,Goa,35,cooked meals recd. as assistance *,Rural,URP,14.3
GJ,Gujarat,35,cooked meals recd. as assistance *,Rural,URP,19.85
HR,Haryana,35,cooked meals recd. as assistance *,Rural,URP,5.81
HP,Himachal Pradesh,35,cooked meals recd. as assistance *,Rural,URP,27.61
JK,Jammu & Kashmir,35,cooked meals recd. as assistance *,Rural,URP,8
JH,Jharkhand,35,cooked meals recd. as assistance *,Rural,URP,24.22
GA,Goa,36,clothing & footwear (2nd hand) **,Rural,URP,2.95
GJ,Gujarat,36,clothing & footwear (2nd hand) **,Rural,URP,1.25
HR,Haryana,36,clothing & footwear (2nd hand) **,Rural,URP,0.06
HP,Himachal Pradesh,36,clothing & footwear (2nd hand) **,Rural,URP,0.17
